# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.artifact.entities.serializer.save.entities.ms,1788582552770000000,1788582612887000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1788582552770000000,1788582612887000000,28
jps.global.get.library.by.name.ms,1788582552770000000,1788582612887000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1788582552770000000,1788582612887000000,39
workspaceModel.moduleManagerBridge.create.module.instance.ms,1788582552770000000,1788582612887000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1788582552770000000,1788582612887000000,10
workspaceModel.moduleBridgeLoader.loading.modules.ms,1788582552770000000,1788582612887000000,1388
jps.global.get.library.ms,1788582552770000000,1788582612887000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1788582552770000000,1788582612887000000,102
jps.facet.change.listener.process.change.events.ms,1788582552770000000,1788582612887000000,4
workspaceModel.sync.entities.ms,1788582552770000000,1788582612887000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1788582552770000000,1788582612887000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1788582552770000000,1788582612887000000,0
jps.project.serializers.load.ms,1788582552770000000,1788582612887000000,113
jps.save.changed.project.entities.ms,1788582552770000000,1788582612887000000,2
workspaceModel.moduleBridge.facet.initialization.ms,1788582552770000000,1788582612887000000,40
jps.storage.jps.conf.reader.load.component.ms,1788582552770000000,1788582612887000000,24
workspaceModel.moduleBridge.before.changed.ms,1788582552770000000,1788582612887000000,0
workspaceModel.load.cache.metadata.from.file.ms,1788582552770000000,1788582612887000000,18
jps.global.get.libraries.ms,1788582552770000000,1788582612887000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1788582552770000000,1788582612887000000,9
workspaceModel.moduleManagerBridge.get.modules.ms,1788582552770000000,1788582612887000000,0
jps.library.entities.serializer.save.entities.ms,1788582552770000000,1788582612887000000,0
jps.save.global.entities.ms,1788582552770000000,1788582612887000000,39
workspaceModel.global.updates.ms,1788582552770000000,1788582612887000000,13
jps.app.storage.content.reader.load.component.ms,1788582552770000000,1788582612887000000,10
workspaceModel.mutableEntityStorage.referrers.ms,1788582552770000000,1788582612887000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1788582552770000000,1788582612887000000,4
workspaceModel.global.apply.state.to.project.ms,1788582552770000000,1788582612887000000,91
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1788582552770000000,1788582612887000000,0
jps.apply.loaded.storage.ms,1788582552770000000,1788582612887000000,168
jps.module.iml.entities.serializer.load.entities.ms,1788582552770000000,1788582612887000000,30
workspaceModel.moduleManagerBridge.newModule.ms,1788582552770000000,1788582612887000000,0
workspaceModel.mutableEntityStorage.entities.ms,1788582552770000000,1788582612887000000,0
jps.reload.project.entities.ms,1788582552770000000,1788582612887000000,0
DirectByteBufferAllocator.hits,1788582552770000000,1788582612887000000,106
FilePageCache.WAL.entriesFlushedOnRead,1788582552770000000,1788582612887000000,0
StreamlinedBlobStorage.recordsAllocated,1788582552770000000,1788582612887000000,118511
FilePageCache.totalBytesStored,1788582552770000000,1788582612887000000,8485665
StorageLockContext.competingThreads.90P,1788582552770000000,1788582612887000000,0
DirectByteBufferAllocator.reclaimed,1788582552770000000,1788582612887000000,149
